ticker,sector,industry
ELV,Healthcare,Healthcare Plans
MDT,Healthcare,Medical Devices
NEE,Utilities,Utilities—Regulated Electric
PANW,Technology,Software—Infrastructure
PBR,Energy,Oil & Gas Integrated
MUFG,Financial Services,Banks—Diversified
TJX,Consumer Cyclical,Apparel Retail
LRCX,Technology,Semiconductor Equipment & Materials
SCHW,Financial Services,Capital Markets
PBR-A,Energy,Oil & Gas Integrated
SHOP,Technology,Software—Application
ETN,Industrials,Specialty Industrial Machinery
DE,Industrials,Farm & Heavy Construction Machinery
VRTX,Healthcare,Biotechnology
SBUX,Consumer Cyclical,Restaurants
PGR,Financial Services,Insurance—Property & Casualty
TD,Financial Services,Banks—Diversified
C,Financial Services,Banks—Diversified
LMT,Industrials,Aerospace & Defense
ADP,Industrials,Staffing & Employment Services
MDLZ,Consumer Defensive,Confectioners
BP,Energy,Oil & Gas Integrated
REGN,Healthcare,Biotechnology
CB,Financial Services,Insurance—Property & Casualty
BMY,Healthcare,Drug Manufacturers—General
CVS,Healthcare,Healthcare Plans
CI,Healthcare,Healthcare Plans
MMC,Financial Services,Insurance Brokers
ABNB,Consumer Cyclical,Travel Services
BSX,Healthcare,Medical Devices
ADI,Technology,Semiconductors
RACE,Consumer Cyclical,Auto Manufacturers
MU,Technology,Semiconductors
GILD,Healthcare,Drug Manufacturers—General
ZTS,Healthcare,Drug Manufacturers—Specialty & Generic
AMT,Real Estate,REIT—Specialty
UBS,Financial Services,Banks—Diversified
MELI,Consumer Cyclical,Internet Retail
IBN,Financial Services,Banks—Regional
FI,Technology,Information Technology Services
GSK,Healthcare,Drug Manufacturers—General
INFY,Technology,Information Technology Services
SNPS,Technology,Software—Infrastructure
KKR,Financial Services,Asset Management
ANET,Technology,Computer Hardware
CNI,Industrials,Railroads
DEO,Consumer Defensive,Beverages—Wineries & Distilleries
KLAC,Technology,Semiconductor Equipment & Materials
HCA,Healthcare,Medical Care Facilities
CDNS,Technology,Software—Application
EQNR,Energy,Oil & Gas Integrated
SHW,Basic Materials,Specialty Chemicals
EQIX,Real Estate,REIT—Specialty
CP,Industrials,Railroads
RELX,Industrials,Specialty Business Services
WDAY,Technology,Software—Application
CRWD,Technology,Software—Infrastructure
ITW,Industrials,Specialty Industrial Machinery
WM,Industrials,Waste Management
ARM,Technology,Semiconductors
MCO,Financial Services,Financial Data & Stock Exchanges
CME,Financial Services,Financial Data & Stock Exchanges
GD,Industrials,Aerospace & Defense
CMG,Consumer Cyclical,Restaurants
DUK,Utilities,Utilities—Regulated Electric
CSX,Industrials,Railroads
SO,Utilities,Utilities—Regulated Electric
ENB,Energy,Oil & Gas Midstream
MAR,Consumer Cyclical,Lodging
STLA,Consumer Cyclical,Auto Manufacturers
SNOW,Technology,Software—Application
ICE,Financial Services,Financial Data & Stock Exchanges
MO,Consumer Defensive,Tobacco
BDX,Healthcare,Medical Instruments & Supplies
MCK,Healthcare,Medical Distribution
CL,Consumer Defensive,Household & Personal Products
SMFG,Financial Services,Banks—Diversified
PYPL,Financial Services,Credit Services
SAN,Financial Services,Banks—Diversified
NOC,Industrials,Aerospace & Defense
TGT,Consumer Defensive,Discount Stores
TRI,Industrials,Specialty Business Services
SLB,Energy,Oil & Gas Equipment & Services
BMO,Financial Services,Banks—Diversified
PH,Industrials,Specialty Industrial Machinery
EOG,Energy,Oil & Gas E&P
BTI,Consumer Defensive,Tobacco
CNQ,Energy,Oil & Gas E&P
BN,Financial Services,Asset Management
PSX,Energy,Oil & Gas Refining & Marketing
MPC,Energy,Oil & Gas Refining & Marketing
TDG,Industrials,Aerospace & Defense
CTAS,Industrials,Specialty Business Services
SCCO,Basic Materials,Copper
ORLY,Consumer Cyclical,Specialty Retail
TT,Industrials,Building Products & Equipment
NTES,Communication Services,Electronic Gaming & Multimedia
USB,Financial Services,Banks—Regional
APH,Technology,Electronic Components
ITUB,Financial Services,Banks—Regional
FDX,Industrials,Integrated Freight & Logistics
APO,Financial Services,Asset Management
AON,Financial Services,Insurance Brokers
MRVL,Technology,Semiconductors
HMC,Consumer Cyclical,Auto Manufacturers
LULU,Consumer Cyclical,Apparel Retail
EMR,Industrials,Specialty Industrial Machinery
PNC,Financial Services,Banks—Regional
MNST,Consumer Defensive,Beverages—Non-Alcoholic
DELL,Technology,Computer Hardware
ROP,Technology,Software—Application
VALE,Basic Materials,Other Industrial Metals & Mining
ECL,Basic Materials,Specialty Chemicals
NXPI,Technology,Semiconductors
EPD,Energy,Oil & Gas Midstream
NSC,Industrials,Railroads
BNS,Financial Services,Banks—Diversified
BBVA,Financial Services,Banks—Diversified
AMX,Communication Services,Telecom Services
FCX,Basic Materials,Copper
ADSK,Technology,Software—Application
PCAR,Industrials,Farm & Heavy Construction Machinery
RSG,Industrials,Waste Management
TEAM,Technology,Software—Application
MSI,Technology,Communication Equipment
FTNT,Technology,Software—Infrastructure
PXD,Energy,Oil & Gas E&P
EW,Healthcare,Medical Devices
CRH,Basic Materials,Building Materials
MMM,Industrials,Conglomerates
PLTR,Technology,Software—Infrastructure
COF,Financial Services,Credit Services
E,Energy,Oil & Gas Integrated
EL,Consumer Defensive,Household & Personal Products
AJG,Financial Services,Insurance Brokers
OXY,Energy,Oil & Gas E&P
HLT,Consumer Cyclical,Lodging
F,Consumer Cyclical,Auto Manufacturers
PSA,Real Estate,REIT—Industrial
MET,Financial Services,Insurance—Life
NGG,Utilities,Utilities—Regulated Electric
AZO,Consumer Cyclical,Specialty Retail
CPRT,Industrials,Specialty Business Services
AIG,Financial Services,Insurance—Diversified
TRV,Financial Services,Insurance—Property & Casualty
DXCM,Healthcare,Medical Devices
ROST,Consumer Cyclical,Apparel Retail
DHI,Consumer Cyclical,Residential Construction
WELL,Real Estate,REIT—Healthcare Facilities
TFC,Financial Services,Banks—Regional
VLO,Energy,Oil & Gas Refining & Marketing
APD,Basic Materials,Specialty Chemicals
ODFL,Industrials,Trucking
COR,Healthcare,Medical Distribution
IDXX,Healthcare,Diagnostics & Research
SPG,Real Estate,REIT—Retail
GWW,Industrials,Industrial Distribution
CHTR,Communication Services,Telecom Services
ET,Energy,Oil & Gas Midstream
MSCI,Financial Services,Financial Data & Stock Exchanges
CCI,Real Estate,REIT—Specialty
TAK,Healthcare,Drug Manufacturers—Specialty & Generic
DASH,Communication Services,Internet Content & Information
NUE,Basic Materials,Steel
AFL,Financial Services,Insurance—Life
SPOT,Communication Services,Internet Content & Information
HUM,Healthcare,Healthcare Plans
CARR,Industrials,Building Products & Equipment
MCHP,Technology,Semiconductors
NU,Financial Services,Banks—Regional
GM,Consumer Cyclical,Auto Manufacturers
STZ,Consumer Defensive,Beverages—Wineries & Distilleries
MFG,Financial Services,Banks—Regional
O,Real Estate,REIT—Retail
KHC,Consumer Defensive,Packaged Foods
HES,Energy,Oil & Gas E&P
SRE,Utilities,Utilities—Diversified
URI,Industrials,Rental & Leasing Services
DLR,Real Estate,REIT—Specialty
PAYX,Industrials,Staffing & Employment Services
TEL,Technology,Electronic Components
KDP,Consumer Defensive,Beverages—Non-Alcoholic
BSBR,Financial Services,Banks—Regional
DDOG,Technology,Software—Application
ING,Financial Services,Banks—Diversified
LEN,Consumer Cyclical,Residential Construction
BK,Financial Services,Asset Management
CEG,Utilities,Utilities—Renewable
SQ,Technology,Software—Infrastructure
WMB,Energy,Oil & Gas Midstream
CM,Financial Services,Banks—Diversified
ALL,Financial Services,Insurance—Property & Casualty
SU,Energy,Oil & Gas Integrated
KMB,Consumer Defensive,Household & Personal Products
AEP,Utilities,Utilities—Regulated Electric
MFC,Financial Services,Insurance—Life
ABEV,Consumer Defensive,Beverages—Brewers
WCN,Industrials,Waste Management
AMP,Financial Services,Asset Management
WDS,Energy,Oil & Gas E&P
LVS,Consumer Cyclical,Resorts & Casinos
FAST,Industrials,Industrial Distribution
OKE,Energy,Oil & Gas Midstream
CNC,Healthcare,Healthcare Plans
IBKR,Financial Services,Capital Markets
LHX,Industrials,Aerospace & Defense
SYY,Consumer Defensive,Food Distribution
STM,Technology,Semiconductors
HSY,Consumer Defensive,Confectioners
FERG,Industrials,Industrial Distribution
CTSH,Technology,Information Technology Services
PRU,Financial Services,Insurance—Life
KVUE,Consumer Defensive,Household & Personal Products
TRP,Energy,Oil & Gas Midstream
IQV,Healthcare,Diagnostics & Research
A,Healthcare,Diagnostics & Research
NEM,Basic Materials,Gold
HLN,Healthcare,Drug Manufacturers—Specialty & Generic
AME,Industrials,Specialty Industrial Machinery
LNG,Energy,Oil & Gas Midstream
CTVA,Basic Materials,Agricultural Inputs
SMCI,Technology,Computer Hardware
DOW,Basic Materials,Chemicals
MPLX,Energy,Oil & Gas Midstream
MRNA,Healthcare,Biotechnology
ALC,Healthcare,Medical Instruments & Supplies
OTIS,Industrials,Specialty Industrial Machinery
D,Utilities,Utilities—Regulated Electric
BIDU,Communication Services,Internet Content & Information
GEHC,Healthcare,Health Information Services
JCI,Industrials,Building Products & Equipment
KMI,Energy,Oil & Gas Midstream
EA,Communication Services,Electronic Gaming & Multimedia
FLUT,Consumer Cyclical,Gambling
FIS,Technology,Information Technology Services
YUM,Consumer Cyclical,Restaurants
VRSK,Industrials,Consulting Services
GIS,Consumer Defensive,Packaged Foods
ZS,Technology,Software—Infrastructure
BCE,Communication Services,Telecom Services
GPN,Industrials,Specialty Business Services
CMI,Industrials,Specialty Industrial Machinery
IT,Technology,Information Technology Services
PCG,Utilities,Utilities—Regulated Electric
BIIB,Healthcare,Drug Manufacturers—General
QSR,Consumer Cyclical,Restaurants
CSGP,Real Estate,Real Estate Services
VEEV,Healthcare,Health Information Services
IR,Industrials,Specialty Industrial Machinery
TTD,Technology,Software—Application
EXC,Utilities,Utilities—Regulated Electric
ON,Technology,Semiconductors
MDB,Technology,Software—Infrastructure
LYG,Financial Services,Banks—Regional
PPG,Basic Materials,Specialty Chemicals
NDAQ,Financial Services,Financial Data & Stock Exchanges
MLM,Basic Materials,Building Materials
XEL,Utilities,Utilities—Regulated Electric
KR,Consumer Defensive,Grocery Stores
CDW,Technology,Information Technology Services
FICO,Technology,Software—Application
ACGL,Financial Services,Insurance—Diversified
VMC,Basic Materials,Building Materials
HAL,Energy,Oil & Gas Equipment & Services
MPWR,Technology,Semiconductors
ED,Utilities,Utilities—Regulated Electric
ROK,Industrials,Specialty Industrial Machinery
VICI,Real Estate,REIT—Diversified
HUBS,Technology,Software—Application
WIT,Technology,Information Technology Services
CCEP,Consumer Defensive,Beverages—Non-Alcoholic
RCL,Consumer Cyclical,Travel Services
SLF,Financial Services,Insurance—Diversified
LI,Consumer Cyclical,Auto Manufacturers
ORAN,Communication Services,Telecom Services
LYB,Basic Materials,Specialty Chemicals
WST,Healthcare,Medical Instruments & Supplies
PWR,Industrials,Engineering & Construction
IMO,Energy,Oil & Gas Integrated
DLTR,Consumer Defensive,Discount Stores
EXR,Real Estate,REIT—Industrial
CVE,Energy,Oil & Gas Integrated
CHT,Communication Services,Telecom Services
EFX,Industrials,Consulting Services
FMX,Consumer Defensive,Beverages—Brewers
XYL,Industrials,Specialty Industrial Machinery
DG,Consumer Defensive,Discount Stores
ANSS,Technology,Software—Application
COIN,Financial Services,Financial Data & Stock Exchanges
PEG,Utilities,Utilities—Regulated Electric
BKR,Energy,Oil & Gas Equipment & Services
GFS,Technology,Semiconductors
FTV,Technology,Scientific & Technical Instruments
TTWO,Communication Services,Electronic Gaming & Multimedia
DD,Basic Materials,Specialty Chemicals
JD,Consumer Cyclical,Internet Retail
FWONK,Communication Services,Entertainment
RBLX,Communication Services,Electronic Gaming & Multimedia
ADM,Consumer Defensive,Farm Products
NET,Technology,Software—Infrastructure
BCS,Financial Services,Banks—Diversified
FWONA,Communication Services,Entertainment
WTW,Financial Services,Insurance Brokers
BBD,Financial Services,Banks—Regional
PUK,Financial Services,Insurance—Life
HPQ,Technology,Computer Hardware
PINS,Communication Services,Internet Content & Information
KEYS,Technology,Scientific & Technical Instruments
RMD,Healthcare,Medical Instruments & Supplies
BF-A,Consumer Defensive,Beverages—Wineries & Distilleries
FANG,Energy,Oil & Gas E&P
GLW,Technology,Electronic Components
HIG,Financial Services,Insurance—Property & Casualty
ZBH,Healthcare,Medical Devices
DFS,Financial Services,Credit Services
DVN,Energy,Oil & Gas E&P
MTD,Healthcare,Diagnostics & Research
GOLD,Basic Materials,Gold
GIB,Technology,Information Technology Services
DAL,Industrials,Airlines
SPLK,Technology,Software—Infrastructure
CAH,Healthcare,Medical Distribution
CPNG,Consumer Cyclical,Internet Retail
CBRE,Real Estate,Real Estate Services
PKX,Basic Materials,Steel
DB,Financial Services,Banks—Regional
TSCO,Consumer Cyclical,Specialty Retail
TU,Communication Services,Telecom Services
TLK,Communication Services,Telecom Services
EIX,Utilities,Utilities—Regulated Electric
ULTA,Consumer Cyclical,Specialty Retail
CHD,Consumer Defensive,Household & Personal Products
WEC,Utilities,Utilities—Regulated Electric
SE,Consumer Cyclical,Internet Retail
AVB,Real Estate,REIT—Residential
EC,Energy,Oil & Gas Integrated
TROW,Financial Services,Asset Management
RCI,Communication Services,Telecom Services
WAB,Industrials,Railroads
RYAAY,Industrials,Airlines
NTR,Basic Materials,Agricultural Inputs
HWM,Industrials,Aerospace & Defense
TCOM,Consumer Cyclical,Travel Services
CQP,Energy,Oil & Gas Midstream
ARES,Financial Services,Asset Management
WY,Real Estate,REIT—Specialty
WBD,Communication Services,Entertainment
AWK,Utilities,Utilities—Regulated Water
NWG,Financial Services,Banks—Regional
FCNCO,Financial Services,Banks—Regional
SBAC,Real Estate,REIT—Specialty
NVR,Consumer Cyclical,Residential Construction
AEM,Basic Materials,Gold
TW,Financial Services,Capital Markets
BR,Technology,Information Technology Services
RJF,Financial Services,Capital Markets
VRT,Industrials,Electrical Equipment & Parts
GRMN,Technology,Scientific & Technical Instruments
APTV,Consumer Cyclical,Auto Parts
MT,Basic Materials,Steel
HEI-A,Industrials,Aerospace & Defense
RKT,Financial Services,Mortgage Finance
HEI,Industrials,Aerospace & Defense
OWL,Financial Services,Asset Management
ILMN,Healthcare,Diagnostics & Research
FCNCA,Financial Services,Banks—Regional
FITB,Financial Services,Banks—Regional
DOV,Industrials,Specialty Industrial Machinery
BLDR,Industrials,Building Products & Equipment
STT,Financial Services,Asset Management
BNTX,Healthcare,Biotechnology
BRO,Financial Services,Insurance Brokers
STE,Healthcare,Medical Devices
EQR,Real Estate,REIT—Residential
SYM,Industrials,Specialty Industrial Machinery
PHM,Consumer Cyclical,Residential Construction
IX,Financial Services,Credit Services
ICLR,Healthcare,Diagnostics & Research
VOD,Communication Services,Telecom Services
TEF,Communication Services,Telecom Services
JBHT,Industrials,Integrated Freight & Logistics
EBAY,Consumer Cyclical,Internet Retail
ALGN,Healthcare,Medical Devices
DTE,Utilities,Utilities—Regulated Electric
ARGX,Healthcare,Biotechnology
MBLY,Consumer Cyclical,Auto Parts
MTB,Financial Services,Banks—Regional
PTC,Technology,Software—Application
EXPE,Consumer Cyclical,Travel Services
ROL,Consumer Cyclical,Personal Services
DECK,Consumer Cyclical,Footwear & Accessories
FLT,Technology,Software—Infrastructure
IFF,Basic Materials,Specialty Chemicals
ALNY,Healthcare,Biotechnology
WPM,Basic Materials,Gold
MOH,Healthcare,Healthcare Plans
ETR,Utilities,Utilities—Regulated Electric
CCJ,Energy,Uranium
FNV,Basic Materials,Gold
WRB,Financial Services,Insurance—Property & Casualty
ARE,Real Estate,REIT—Office
FE,Utilities,Utilities—Regulated Electric
TDY,Technology,Scientific & Technical Instruments
KOF,Consumer Defensive,Beverages—Non-Alcoholic
VRSN,Technology,Software—Infrastructure
BIP,Utilities,Utilities—Diversified
EBR,Utilities,Utilities—Renewable
STLD,Basic Materials,Steel
ELPC,Utilities,Utilities—Diversified
LYV,Communication Services,Entertainment
AXON,Industrials,Aerospace & Defense
VLTO,Industrials,Pollution & Treatment Controls
GPC,Consumer Cyclical,Specialty Retail
INVH,Real Estate,REIT—Residential
IRM,Real Estate,REIT—Specialty
BAX,Healthcare,Medical Instruments & Supplies
DRI,Consumer Cyclical,Restaurants
CHKP,Technology,Software—Infrastructure
DKNG,Consumer Cyclical,Gambling
HPE,Technology,Communication Equipment
WBA,Healthcare,Pharmaceutical Retailers
CCL,Consumer Cyclical,Travel Services
TECK,Basic Materials,Other Industrial Metals & Mining
NOK,Technology,Communication Equipment
UMC,Technology,Semiconductors
SIRI,Communication Services,Entertainment
ZM,Technology,Software—Application
CBOE,Financial Services,Financial Data & Stock Exchanges
CLX,Consumer Defensive,Household & Personal Products
TRGP,Energy,Oil & Gas Midstream
FTS,Utilities,Utilities—Regulated Electric
WAT,Healthcare,Diagnostics & Research
HUBB,Industrials,Electrical Equipment & Parts
MKL,Financial Services,Insurance—Property & Casualty
PPL,Utilities,Utilities—Regulated Electric
LH,Healthcare,Diagnostics & Research
AKAM,Technology,Software—Infrastructure
WDC,Technology,Computer Hardware
SNAP,Communication Services,Internet Content & Information
KB,Financial Services,Banks—Regional
ES,Utilities,Utilities—Regulated Electric
WMG,Communication Services,Entertainment
TS,Energy,Oil & Gas Equipment & Services
EXPD,Industrials,Integrated Freight & Logistics
BAH,Industrials,Consulting Services
PFG,Financial Services,Asset Management
COO,Healthcare,Medical Instruments & Supplies
DT,Technology,Software—Application
K,Consumer Defensive,Packaged Foods
LPLA,Financial Services,Capital Markets
PHG,Healthcare,Medical Devices
PBA,Energy,Oil & Gas Midstream
BALL,Consumer Cyclical,Packaging & Containers
TYL,Technology,Software—Application
FDS,Financial Services,Financial Data & Stock Exchanges
LUV,Industrials,Airlines
CTRA,Energy,Oil & Gas E&P
VTR,Real Estate,REIT—Healthcare Facilities
GMAB,Healthcare,Biotechnology
STX,Technology,Computer Hardware
ASX,Technology,Semiconductors
J,Industrials,Engineering & Construction
WLK,Basic Materials,Specialty Chemicals
AEE,Utilities,Utilities—Regulated Electric
ENTG,Technology,Semiconductor Equipment & Materials
ERIC,Technology,Communication Equipment
NTAP,Technology,Computer Hardware
HBAN,Financial Services,Banks—Regional
VIV,Communication Services,Telecom Services
RPRX,Healthcare,Biotechnology
MKC,Consumer Defensive,Packaged Foods
IOT,Technology,Software—Infrastructure
CNP,Utilities,Utilities—Regulated Electric
HOLX,Healthcare,Medical Instruments & Supplies
MKC-V,Consumer Defensive,Packaged Foods
TXT,Industrials,Aerospace & Defense
SHG,Financial Services,Banks—Regional
OMC,Communication Services,Advertising Agencies
RS,Basic Materials,Steel
BEKE,Real Estate,Real Estate Services
KSPI,Technology,Software—Infrastructure
ATO,Utilities,Utilities—Regulated Gas
EDR,Communication Services,Entertainment
IEX,Industrials,Specialty Industrial Machinery
BMRN,Healthcare,Biotechnology
JHX,Basic Materials,Building Materials
MGA,Consumer Cyclical,Auto Parts
JBL,Technology,Electronic Components
CINF,Financial Services,Insurance—Property & Casualty
EG,Financial Services,Insurance—Reinsurance
RF,Financial Services,Banks—Regional
CSL,Industrials,Building Products & Equipment
SWKS,Technology,Semiconductors
EPAM,Technology,Information Technology Services
CNHI,Industrials,Farm & Heavy Construction Machinery
CMS,Utilities,Utilities—Regulated Electric
YUMC,Consumer Cyclical,Restaurants
AER,Industrials,Rental & Leasing Services
AVY,Consumer Cyclical,Packaging & Containers
NTRS,Financial Services,Asset Management
HRL,Consumer Defensive,Packaged Foods
CE,Basic Materials,Chemicals
L,Financial Services,Insurance—Property & Casualty
BBY,Consumer Cyclical,Specialty Retail
ERIE,Financial Services,Insurance Brokers
AVTR,Basic Materials,Specialty Chemicals
APP,Technology,Software—Application
CG,Financial Services,Asset Management
ENPH,Technology,Solar
WSO,Industrials,Industrial Distribution
SYF,Financial Services,Credit Services
MAS,Industrials,Building Products & Equipment
IHG,Consumer Cyclical,Lodging
GDDY,Technology,Software—Infrastructure
VST,Utilities,Utilities—Independent Power Producers
LII,Industrials,Building Products & Equipment
NMR,Financial Services,Capital Markets
FSLR,Technology,Solar
SNA,Industrials,Tools & Accessories
SUI,Real Estate,REIT—Residential
BAM,Financial Services,Asset Management
LDOS,Technology,Information Technology Services
WSO-B,Industrials,Industrial Distribution
TSN,Consumer Defensive,Farm Products
BSY,Technology,Software—Application
MGM,Consumer Cyclical,Resorts & Casinos
TME,Communication Services,Internet Content & Information
MANH,Technology,Software—Application
CRBG,Financial Services,Asset Management
SSNC,Technology,Software—Application
TKO,Communication Services,Entertainment
TER,Technology,Semiconductor Equipment & Materials
POOL,Industrials,Industrial Distribution
DPZ,Consumer Cyclical,Restaurants
PKG,Consumer Cyclical,Packaging & Containers
GGG,Industrials,Specialty Industrial Machinery
CFG,Financial Services,Banks—Regional
ESS,Real Estate,REIT—Residential
NDSN,Industrials,Specialty Industrial Machinery
MAA,Real Estate,REIT—Residential
CF,Basic Materials,Agricultural Inputs
RIVN,Consumer Cyclical,Auto Manufacturers
LW,Consumer Defensive,Packaged Foods
SAIA,Industrials,Trucking
DGX,Healthcare,Diagnostics & Research
BGNE,Healthcare,Biotechnology
OC,Industrials,Building Products & Equipment
BEN,Financial Services,Asset Management
VTRS,Healthcare,Drug Manufacturers—Specialty & Generic
EQT,Energy,Oil & Gas E&P
LOGI,Technology,Computer Hardware
NTNX,Technology,Software—Infrastructure
SJM,Consumer Defensive,Packaged Foods
PODD,Healthcare,Medical Devices
NWSA,Communication Services,Entertainment
FOXA,Communication Services,Entertainment
NICE,Technology,Software—Application
OKTA,Technology,Software—Infrastructure
FNF,Financial Services,Insurance—Specialty
SWK,Industrials,Tools & Accessories
SUZ,Basic Materials,Paper & Paper Products
KIM,Real Estate,REIT—Retail
RPM,Basic Materials,Specialty Chemicals
XP,Financial Services,Capital Markets
TEVA,Healthcare,Drug Manufacturers—Specialty & Generic
HST,Real Estate,REIT—Hotel & Motel
UAL,Industrials,Airlines
AMCR,Consumer Cyclical,Packaging & Containers
ROKU,Communication Services,Entertainment
XPO,Industrials,Trucking
ALB,Basic Materials,Specialty Chemicals
AFRM,Technology,Software—Infrastructure
CAG,Consumer Defensive,Packaged Foods
PSTG,Technology,Computer Hardware
NBIX,Healthcare,Drug Manufacturers—Specialty & Generic
TRU,Industrials,Consulting Services
GEN,Technology,Software—Infrastructure
EDU,Consumer Defensive,Education & Training Services
TPG,Financial Services,Asset Management
WPC,Real Estate,REIT—Diversified
H,Consumer Cyclical,Lodging
PATH,Technology,Software—Infrastructure
CELH,Consumer Defensive,Beverages—Non-Alcoholic
MRO,Energy,Oil & Gas E&P
WSM,Consumer Cyclical,Specialty Retail
GFL,Industrials,Waste Management
CX,Basic Materials,Building Materials
ELS,Real Estate,REIT—Residential
LECO,Industrials,Tools & Accessories
KEY,Financial Services,Banks—Regional
Z,Communication Services,Internet Content & Information
INCY,Healthcare,Biotechnology
DKS,Consumer Cyclical,Specialty Retail
CPB,Consumer Defensive,Packaged Foods
RTO,Industrials,Specialty Business Services
TRMB,Technology,Scientific & Technical Instruments
ZTO,Industrials,Integrated Freight & Logistics
BG,Consumer Defensive,Farm Products
TAP,Consumer Defensive,Beverages—Brewers
LKQ,Consumer Cyclical,Auto Parts
RVTY,Healthcare,Diagnostics & Research
UHAL,Industrials,Rental & Leasing Services
ZBRA,Technology,Communication Equipment
CNA,Financial Services,Insurance—Property & Casualty
TWLO,Communication Services,Internet Content & Information
AMH,Real Estate,REIT—Residential
GFI,Basic Materials,Gold
DINO,Energy,Oil & Gas Refining & Marketing
ESTC,Technology,Software—Application
UHAL-B,Industrials,Rental & Leasing Services
BURL,Consumer Cyclical,Apparel Retail
AZPN,Technology,Software—Application
VFS,Consumer Cyclical,Auto Manufacturers
IPG,Communication Services,Advertising Agencies
U,Technology,Software—Application
GRAB,Technology,Software—Application
PNR,Industrials,Specialty Industrial Machinery
SNN,Healthcare,Medical Devices
JKHY,Technology,Information Technology Services
BAP,Financial Services,Banks—Regional
RBA,Industrials,Specialty Business Services
RDY,Healthcare,Drug Manufacturers—Specialty & Generic
TAP-A,Consumer Defensive,Beverages—Brewers
ACI,Consumer Defensive,Grocery Stores
LNT,Utilities,Utilities—Regulated Electric
GLPI,Real Estate,REIT—Specialty
BLD,Industrials,Engineering & Construction
TFII,Industrials,Trucking
RNR,Financial Services,Insurance—Reinsurance
SQM,Basic Materials,Specialty Chemicals
NRG,Utilities,Utilities—Independent Power Producers
AOS,Industrials,Specialty Industrial Machinery
KRTX,Healthcare,Biotechnology
MORN,Financial Services,Financial Data & Stock Exchanges
ACM,Industrials,Engineering & Construction
JNPR,Technology,Communication Equipment
SRPT,Healthcare,Biotechnology
TFX,Healthcare,Medical Instruments & Supplies
AGR,Utilities,Utilities—Regulated Electric
IP,Consumer Cyclical,Packaging & Containers
GL,Financial Services,Insurance—Life
UDR,Real Estate,REIT—Residential
FMS,Healthcare,Medical Care Facilities
PAYC,Technology,Software—Application
ARCC,Financial Services,Asset Management
KMX,Consumer Cyclical,Auto & Truck Dealerships
REG,Real Estate,REIT—Retail
BCH,Financial Services,Banks—Regional
USFD,Consumer Defensive,Food Distribution
DBX,Technology,Software—Infrastructure
WYNN,Consumer Cyclical,Resorts & Casinos
TPL,Energy,Oil & Gas E&P
EVRG,Utilities,Utilities—Regulated Electric
EQH,Financial Services,Insurance—Diversified
OVV,Energy,Oil & Gas E&P
EME,Industrials,Engineering & Construction
NI,Utilities,Utilities—Regulated Gas
CRL,Healthcare,Diagnostics & Research
RGEN,Healthcare,Medical Instruments & Supplies
FND,Consumer Cyclical,Home Improvement Retail
RYAN,Financial Services,Insurance—Specialty
EXAS,Healthcare,Diagnostics & Research
GTLB,Technology,Software—Infrastructure
OTEX,Technology,Software—Application
ALLE,Industrials,Security & Protection Services
PFGC,Consumer Defensive,Food Distribution
UWMC,Financial Services,Mortgage Finance
SBS,Utilities,Utilities—Regulated Water
AES,Utilities,Utilities—Diversified
HII,Industrials,Aerospace & Defense
REXR,Real Estate,REIT—Industrial
COTY,Consumer Defensive,Household & Personal Products
WMS,Industrials,Building Products & Equipment
ALLY,Financial Services,Credit Services
FFIV,Technology,Software—Infrastructure
PAA,Energy,Oil & Gas Midstream
DAY,Technology,Software—Application
QRVO,Technology,Semiconductors
DOX,Technology,Software—Infrastructure
WES,Energy,Oil & Gas Midstream
NVT,Industrials,Electrical Equipment & Parts
LEGN,Healthcare,Biotechnology
AEG,Financial Services,Insurance—Diversified
LAMR,Real Estate,REIT—Specialty
TECH,Healthcare,Biotechnology
YPF,Energy,Oil & Gas Integrated
DOCU,Technology,Software—Application
MNDY,Technology,Software—Application
TOL,Consumer Cyclical,Residential Construction
PCOR,Technology,Software—Application
FLEX,Technology,Electronic Components
ITT,Industrials,Specialty Industrial Machinery
TOST,Technology,Software—Infrastructure
X,Basic Materials,Steel
CTLT,Healthcare,Drug Manufacturers—Specialty & Generic
PR,Energy,Oil & Gas E&P
WPP,Communication Services,Advertising Agencies
CASY,Consumer Cyclical,Specialty Retail
WRK,Consumer Cyclical,Packaging & Containers
PEN,Healthcare,Medical Devices
AFG,Financial Services,Insurance—Property & Casualty
INFA,Technology,Software—Infrastructure
DVA,Healthcare,Medical Care Facilities
PEAK,Real Estate,REIT—Healthcare Facilities
HTHT,Consumer Cyclical,Lodging
CPT,Real Estate,REIT—Residential
LSXMA,Communication Services,Broadcasting
FIVE,Consumer Cyclical,Specialty Retail
BXP,Real Estate,REIT—Office
UHS,Healthcare,Medical Care Facilities
GLOB,Technology,Information Technology Services
LSXMK,Communication Services,Broadcasting
CLF,Basic Materials,Steel
CYBR,Technology,Software—Infrastructure
PAG,Consumer Cyclical,Auto & Truck Dealerships
FBIN,Industrials,Building Products & Equipment
UTHR,Healthcare,Biotechnology
BBWI,Consumer Cyclical,Specialty Retail
TREX,Industrials,Building Products & Equipment
CHK,Energy,Oil & Gas E&P
MOS,Basic Materials,Agricultural Inputs
CUBE,Real Estate,REIT—Industrial
